start_region,step,nodes_removed,efficiency,components
Primary motor area,1,2,0.7382064503083612,209
Primary motor area,2,3,0.7365336480739098,209
Primary motor area,3,4,0.7348550012288031,209
Primary motor area,4,5,0.7331498886965125,209
Primary motor area,5,6,0.7314593921792345,209
Primary motor area,6,7,0.7297317047708529,209
Primary motor area,7,8,0.7279872231328542,209
Primary motor area,8,9,0.7262151529252506,209
Primary motor area,9,10,0.7244576440782611,209
Primary motor area,10,11,0.7226722382942248,209
Secondary motor area,1,2,0.7382064503083612,209
Secondary motor area,2,3,0.7365336480739098,209
Secondary motor area,3,4,0.7348550012288031,209
Secondary motor area,4,5,0.7331498886965125,209
Secondary motor area,5,6,0.7314593921792345,209
"Primary somatosensory area, nose",1,2,0.7382064503083612,209
"Primary somatosensory area, nose",2,3,0.7365336480739098,209
"Primary somatosensory area, nose",3,4,0.7348550012288031,209
"Primary somatosensory area, nose",4,5,0.7331498886965125,209
"Primary somatosensory area, nose",5,6,0.7314593921792345,209
"Primary somatosensory area, nose",6,7,0.7297317047708529,209
"Primary somatosensory area, nose",7,8,0.7279872231328542,209
"Primary somatosensory area, nose",8,9,0.7262151529252506,209
"Primary somatosensory area, nose",9,10,0.7244576440782611,209
"Primary somatosensory area, nose",10,11,0.7226722382942248,209
"Primary somatosensory area, barrel field",1,2,0.7382064503083612,209
"Primary somatosensory area, barrel field",2,3,0.7365336480739098,209
"Primary somatosensory area, barrel field",3,4,0.7348550012288031,209
"Primary somatosensory area, barrel field",4,5,0.7331498886965125,209
"Primary somatosensory area, barrel field",5,6,0.7314593921792345,209
"Primary somatosensory area, barrel field",6,7,0.7297317047708529,209
"Primary somatosensory area, barrel field",7,8,0.7279872231328542,209
"Primary somatosensory area, barrel field",8,9,0.7262151529252506,209
"Primary somatosensory area, barrel field",9,10,0.7244576440782611,209
"Primary somatosensory area, barrel field",10,11,0.7226722382942248,209
"Primary somatosensory area, lower limb",1,2,0.7382064503083612,209
"Primary somatosensory area, lower limb",2,3,0.7365336480739098,209
"Primary somatosensory area, lower limb",3,4,0.7348550012288031,209
"Primary somatosensory area, lower limb",4,5,0.7331498886965125,209
"Primary somatosensory area, lower limb",5,6,0.7314593921792345,209
"Primary somatosensory area, lower limb",6,7,0.7297317047708529,209
"Primary somatosensory area, lower limb",7,8,0.7279872231328542,209
"Primary somatosensory area, lower limb",8,9,0.7262151529252506,209
"Primary somatosensory area, lower limb",9,10,0.7244576440782611,209
"Primary somatosensory area, lower limb",10,11,0.7226722382942248,209
"Primary somatosensory area, mouth",1,2,0.7382064503083612,209
"Primary somatosensory area, mouth",2,3,0.7365336480739098,209
"Primary somatosensory area, mouth",3,4,0.7348550012288031,209
"Primary somatosensory area, mouth",4,5,0.7331498886965125,209
"Primary somatosensory area, mouth",5,6,0.7314593921792345,209
"Primary somatosensory area, mouth",6,7,0.7297317047708529,209
"Primary somatosensory area, mouth",7,8,0.7279872231328542,209
"Primary somatosensory area, mouth",8,9,0.7262151529252506,209
"Primary somatosensory area, mouth",9,10,0.7244576440782611,209
"Primary somatosensory area, mouth",10,11,0.7226722382942248,209
Supplemental somatosensory area,1,2,0.7382064503083612,209
Supplemental somatosensory area,2,3,0.7365336480739098,209
Supplemental somatosensory area,3,4,0.7348550012288031,209
Supplemental somatosensory area,4,5,0.7331498886965125,209
Supplemental somatosensory area,5,6,0.7314593921792345,209
Supplemental somatosensory area,6,7,0.7297317047708529,209
Supplemental somatosensory area,7,8,0.7279872231328542,209
Supplemental somatosensory area,8,9,0.7262151529252506,209
Supplemental somatosensory area,9,10,0.7244576440782611,209
Supplemental somatosensory area,10,11,0.7226722382942248,209
Gustatory areas,1,2,0.7382064503083612,209
Gustatory areas,2,3,0.7365336480739098,209
Gustatory areas,3,4,0.7348550012288031,209
Gustatory areas,4,5,0.7331498886965125,209
Gustatory areas,5,6,0.7314593921792345,209
Gustatory areas,6,7,0.7297317047708529,209
Gustatory areas,7,8,0.7279872231328542,209
Gustatory areas,8,9,0.7262151529252506,209
Gustatory areas,9,10,0.7244576440782611,209
Gustatory areas,10,11,0.7226722382942248,209
Visceral area,1,2,0.7382064503083612,209
Visceral area,2,3,0.7365336480739098,209
Visceral area,3,4,0.7348550012288031,209
Visceral area,4,5,0.7331498886965125,209
Visceral area,5,6,0.7314593921792345,209
Visceral area,6,7,0.7297317047708529,209
Visceral area,7,8,0.7279872231328542,209
Visceral area,8,9,0.7262151529252506,209
Visceral area,9,10,0.7244576440782611,209
Visceral area,10,11,0.7226722382942248,209
Dorsal auditory area,1,2,0.7382064503083612,209
Dorsal auditory area,2,3,0.7365336480739098,209
Dorsal auditory area,3,4,0.7348550012288031,209
Dorsal auditory area,4,5,0.7331498886965125,209
Dorsal auditory area,5,6,0.7314593921792345,209
Dorsal auditory area,6,7,0.7297317047708529,209
Dorsal auditory area,7,8,0.7279872231328542,209
Dorsal auditory area,8,9,0.7262151529252506,209
Dorsal auditory area,9,10,0.7244576440782611,209
Dorsal auditory area,10,11,0.7226722382942248,209
Primary auditory area,1,2,0.7382064503083612,209
Primary auditory area,2,3,0.7365336480739098,209
Primary auditory area,3,4,0.7348550012288031,209
Primary auditory area,4,5,0.7331498886965125,209
Primary auditory area,5,6,0.7314593921792345,209
Primary auditory area,6,7,0.7297317047708529,209
Primary auditory area,7,8,0.7279872231328542,209
Primary auditory area,8,9,0.7262151529252506,209
Primary auditory area,9,10,0.7244576440782611,209
Primary auditory area,10,11,0.7226722382942248,209
Posterior auditory area,1,2,0.7382064503083612,209
Posterior auditory area,2,3,0.7365336480739098,209
Posterior auditory area,3,4,0.7348550012288031,209
Posterior auditory area,4,5,0.7331498886965125,209
Posterior auditory area,5,6,0.7314593921792345,209
Posterior auditory area,6,7,0.7297317047708529,209
Posterior auditory area,7,8,0.7279872231328542,209
Posterior auditory area,8,9,0.7262151529252506,209
Posterior auditory area,9,10,0.7244576440782611,209
Posterior auditory area,10,11,0.7226722382942248,209
Anterolateral visual area,1,2,0.7382064503083612,209
Anterolateral visual area,2,3,0.7365336480739098,209
Anterolateral visual area,3,4,0.7348550012288031,209
Anterolateral visual area,4,5,0.7331498886965125,209
Anterolateral visual area,5,6,0.7314593921792345,209
Anterolateral visual area,6,7,0.7297317047708529,209
Anterolateral visual area,7,8,0.7279872231328542,209
Anterolateral visual area,8,9,0.7262151529252506,209
Anterolateral visual area,9,10,0.7244576440782611,209
Anterolateral visual area,10,11,0.7226722382942248,209
Anteromedial visual area,1,2,0.7382064503083612,209
Anteromedial visual area,2,3,0.7365336480739098,209
Anteromedial visual area,3,4,0.7348550012288031,209
Anteromedial visual area,4,5,0.7331498886965125,209
Anteromedial visual area,5,6,0.7314593921792345,209
Anteromedial visual area,6,7,0.7297317047708529,209
Anteromedial visual area,7,8,0.7279872231328542,209
Anteromedial visual area,8,9,0.7262151529252506,209
Anteromedial visual area,9,10,0.7244576440782611,209
Anteromedial visual area,10,11,0.7226722382942248,209
Lateral visual area,1,2,0.7382064503083612,209
Lateral visual area,2,3,0.7365336480739098,209
Lateral visual area,3,4,0.7348550012288031,209
Lateral visual area,4,5,0.7331498886965125,209
Lateral visual area,5,6,0.7314593921792345,209
Lateral visual area,6,7,0.7297317047708529,209
Lateral visual area,7,8,0.7279872231328542,209
Lateral visual area,8,9,0.7262151529252506,209
Lateral visual area,9,10,0.7244576440782611,209
Lateral visual area,10,11,0.7226722382942248,209
Primary visual area,1,2,0.7382064503083612,209
Posterolateral visual area,1,2,0.7382064503083612,209
Posterolateral visual area,2,3,0.7365336480739098,209
Posterolateral visual area,3,4,0.7348550012288031,209
Posterolateral visual area,4,5,0.7331498886965125,209
Posterolateral visual area,5,6,0.7314593921792345,209
Posterolateral visual area,6,7,0.7297317047708529,209
Posterolateral visual area,7,8,0.7279872231328542,209
Posterolateral visual area,8,9,0.7262151529252506,209
Posterolateral visual area,9,10,0.7244576440782611,209
Posterolateral visual area,10,11,0.7226722382942248,209
posteromedial visual area,1,2,0.7382064503083612,209
posteromedial visual area,2,3,0.7365336480739098,209
posteromedial visual area,3,4,0.7348550012288031,209
posteromedial visual area,4,5,0.7331498886965125,209
posteromedial visual area,5,6,0.7314593921792345,209
posteromedial visual area,6,7,0.7297317047708529,209
Laterointermediate area,1,2,0.7382064503083612,209
