Region,Outgoing_Connections,Incoming_Connections,Total_Outgoing_Strength,Total_Incoming_Strength,Avg_Outgoing_Strength,Avg_Incoming_Strength,Max_Outgoing,Max_Incoming
"Frontal pole, cerebral cortex",0,106,0.0,1.0167090909207057,0.0,0.0032174338320275497,0.0,0.23830775109700447
Primary motor area,230,107,2.5822037595153273,1.8647537815010389,0.008171530884542175,0.005901119561712148,0.41706820853753773,0.41706820853753773
Secondary motor area,313,108,1.0999450921667466,2.212915227356345,0.0034808388992618564,0.007002896289102358,0.3035851093423004,0.3816190930847365
"Primary somatosensory area, nose",214,107,1.053544064049107,1.1717619283698484,0.0033340002026870474,0.003708107368259014,0.34127814331745665,0.34127814331745665
"Primary somatosensory area, barrel field",295,107,1.1352122065489563,1.0536060719260891,0.003592443691610621,0.003334196430145852,0.25013741600920353,0.3137709368184101
"Primary somatosensory area, lower limb",250,107,0.9440866939361917,0.48553412265512297,0.0029876161200512396,0.0015365003881491234,0.318652215867423,0.318652215867423
"Primary somatosensory area, mouth",270,107,1.2223616780507538,1.3918808254756205,0.003868233158388461,0.004404686156568419,0.3570077568732065,0.3570077568732065
"Primary somatosensory area, upper limb",0,107,0.0,0.5691128646120329,0.0,0.00180099007788618,0.0,0.20743813266875272
"Primary somatosensory area, trunk",0,107,0.0,0.6567722993909781,0.0,0.0020783933525030953,0.0,0.3236650822960572
"Primary somatosensory area, unassigned",0,106,0.0,0.8066288785460821,0.0,0.0025526230333736775,0.0,0.280759514105784
Supplemental somatosensory area,280,108,2.7734706074490996,1.7858553284326715,0.008776805719775632,0.005651440912761619,0.35436920173862396,0.4906410474016562
Gustatory areas,287,107,2.4787407959387293,2.3027891100789275,0.00784411644284408,0.007287307310376353,0.33536104429265556,0.6827566183781875
Visceral area,310,106,14.49287872264762,2.0049363943067102,0.0458635402615431,0.006344735425021235,0.7681767148231493,0.7681767148231493
Dorsal auditory area,276,107,1.011463846853092,0.9870580580941734,0.003200834958395861,0.0031236014496651057,0.29943484622109545,0.29943484622109545
Primary auditory area,161,107,1.6454432091939823,1.5299327328309136,0.005207098763272096,0.004841559281110486,0.337201749557621,0.4299624350893171
Posterior auditory area,189,102,2.02603455048779,1.5105713091333322,0.006411501742049968,0.004780288952953583,0.4724243363242139,0.4724243363242139
Ventral auditory area,0,108,0.0,0.8413654642224417,0.0,0.0026625489374127904,0.0,0.2442700967417368
Anterolateral visual area,298,103,2.0716213272087316,1.2606403670661148,0.006555763693698518,0.003989368250209224,0.30008176177501794,0.30008176177501794
Anteromedial visual area,310,104,2.3052132609234217,1.8302202703922141,0.007294978673808296,0.005791836298709539,0.3184907742094097,0.496067532411203
Lateral visual area,264,102,1.674818800414502,2.1086130221698722,0.005300059494982601,0.006672826019524912,0.2936783977925693,0.31500497172702097
Primary visual area,316,107,2.5672009263127875,1.6141373949416353,0.008124053564280974,0.00510802973082796,0.35788936481482336,0.35788936481482336
Posterolateral visual area,261,106,1.717959545893055,1.6458433306170017,0.005436580841433719,0.005208364970306968,0.36756806686115495,0.38222970268394385
posteromedial visual area,315,106,3.2994968865364793,1.8752866722913473,0.010441445843469871,0.005934451494592871,0.46871207891474403,0.46871207891474403
Laterointermediate area,201,101,1.108127952564085,1.763502423397783,0.003506734027101535,0.005580703871511971,0.26567585661180476,0.3267867630498167
Postrhinal area,288,106,2.7991128824218032,1.796190040115987,0.00885795215956267,0.005684145696569579,0.43813259353519723,0.43813259353519723
"Anterior cingulate area, dorsal part",310,107,1.8490691904918792,1.9736735541406074,0.005851484780037592,0.00624580238652091,0.3833340071800456,0.3833340071800456
"Anterior cingulate area, ventral part",258,106,1.1618070535975122,1.8721369537298533,0.003676604599992127,0.005924484030790675,0.38249339336947197,0.37191620273735077
Prelimbic area,315,106,9.027887702477745,1.9064622767371264,0.028569264881258688,0.006033108470687109,0.48431140663740063,0.47873791720233183
Infralimbic area,0,103,0.0,2.155185420393433,0.0,0.006820207026561496,0.0,0.48431140663740063
"Orbital area, lateral part",0,105,0.0,1.3205665942402063,0.0,0.004179008209620906,0.0,0.5367063677565846
"Orbital area, medial part",306,107,3.85310518450785,1.9900557264383099,0.012193370837050159,0.006297644703918702,0.4803933213487308,0.4803933213487308
"Orbital area, ventrolateral part",66,107,0.22608359231030578,1.8290590800516737,0.0007154544060452714,0.005788161645733145,0.11052693390791357,0.3695728684000995
"Agranular insular area, dorsal part",286,108,4.7387789621944805,2.1987380857532868,0.014996135956311647,0.006958031916940781,0.5297305989793286,0.6750427001142002
"Agranular insular area, posterior part",143,106,0.6919890648765902,1.8779739334736665,0.002189838812900602,0.00594295548567616,0.10622160999862917,0.693883043394159
"Agranular insular area, ventral part",297,108,10.541502482383438,2.184871923359775,0.033359185070833665,0.00691415165620182,0.8050883650664161,0.8050883650664161
"Retrosplenial area, lateral agranular part",299,106,2.0416455350111935,1.59794734218809,0.006460903591807575,0.005056795386671171,0.34239780703268446,0.34239780703268446
"Retrosplenial area, dorsal part",267,108,0.6913605920676262,1.9189883238930476,0.0021878499748975515,0.006072747860421037,0.24906977703919078,0.3054594764463924
"Retrosplenial area, ventral part",308,107,1.7145749915817898,1.8409413414222062,0.005425870226524652,0.005825763738677867,0.38262468775496766,0.38262468775496766
Anterior area,198,106,2.504950638151695,1.619323097082093,0.007927058981492706,0.0051244401806395355,0.5114503129352316,0.5114503129352316
Rostrolateral visual area,311,104,1.8350753622802531,1.4632789626221459,0.005807200513545105,0.004630629628551095,0.36957401614543545,0.36957401614543545
Temporal association areas,0,106,0.0,1.7783171510178377,0.0,0.0056275859209425245,0.0,0.4198951975048564
Perirhinal area,0,106,0.0,1.2954258511310808,0.0,0.004099448895984433,0.0,0.5243955572885182
Ectorhinal area,0,107,0.0,1.3824156010260267,0.0,0.004374732914639325,0.0,0.50781138898376
Main olfactory bulb,0,108,0.0,1.1231532835073066,0.0,0.003554282542744641,0.0,0.4248706620138199
Accessory olfactory bulb,209,101,2.7077299458536737,0.7786295622225405,0.008568765651435677,0.002464017601970065,0.47060880374592245,0.47060880374592245
Anterior olfactory nucleus,200,106,1.922400048290116,1.827694773263628,0.006083544456614291,0.005783844219188696,0.43880671358081147,0.43880671358081147
Taenia tecta,248,108,2.1839291625529196,1.1527265262177722,0.006911168235926961,0.0036478687538537093,0.4636337004672479,0.2748151352889124
Dorsal peduncular area,248,107,1.736248725686423,1.6463780714920127,0.005494457992678553,0.005210057188265863,0.3749618834536906,0.3749618834536906
Piriform area,274,108,3.774216225172864,1.2841203999809747,0.011943722231559695,0.004063672151838528,0.42771560454282886,0.42771560454282886
Nucleus of the lateral olfactory tract,0,105,0.0,1.292685286321759,0.0,0.004090776222537213,0.0,0.5404516972747355
"Cortical amygdalar area, anterior part",0,106,0.0,1.9620146733745856,0.0,0.006208907194223372,0.0,0.4838996563122476
"Cortical amygdalar area, posterior part",217,107,3.4567776969965025,0.8753503650483234,0.010939169927204121,0.002770096091925074,0.44858731257577383,0.4343453740421217
Piriform-amygdalar area,0,106,0.0,0.7627072881327785,0.0,0.002413630658648033,0.0,0.14348005041822684
Postpiriform transition area,0,106,0.0,0.8439216862395648,0.0,0.0026706382475935593,0.0,0.18585607332724466
Field CA1,250,105,1.9928033003819066,1.6362606695090518,0.006306339558170591,0.005178040093383076,0.347350067723425,0.3969167548930184
Field CA2,0,95,0.0,1.0201106472785322,0.0,0.003228198250881431,0.0,0.4521432249995563
Field CA3,239,104,2.242921025565018,1.5963865881545947,0.007097851346724741,0.005051856291628464,0.4521432249995563,0.4209169489068983
Dentate gyrus,297,107,1.1042048015737296,1.9835378260178838,0.0034943189923219292,0.006277018436765455,0.24113898718199964,0.39418973048774136
Fasciola cinerea,0,91,0.0,0.3371798055396735,0.0,0.0010670247010749162,0.0,0.2653470378013774
Induseum griseum,0,107,0.0,1.33933745438651,0.0,0.0042384096657800945,0.0,0.348022596950605
"Entorhinal area, lateral part",306,108,4.525261033885823,1.6567397941125324,0.014320446309765261,0.005242847449723203,0.3757122007580536,0.3757122007580536
"Entorhinal area, medial part, dorsal zone",264,106,3.008847808313658,1.293769462733174,0.009521670279473602,0.004094207160548019,0.4120141149153316,0.4120141149153316
Parasubiculum,0,106,0.0,0.7104895741899765,0.0,0.0022483847284492926,0.0,0.24808554884985656
Postsubiculum,0,106,0.0,1.049502742209448,0.0,0.0033212112095235696,0.0,0.322079994005912
Presubiculum,0,104,0.0,0.7282691535618263,0.0,0.0023046492201323618,0.0,0.3805443828285817
Subiculum,313,107,5.940065208829694,1.5681072965731604,0.018797674711486374,0.004962364862573293,0.3805443828285817,0.37657462470386677
Prosubiculum,0,106,0.0,1.1283191491046753,0.0,0.0035706302186856815,0.0,0.35403654176096905
Hippocampo-amygdalar transition area,0,104,0.0,0.3793829095921348,0.0,0.0012005788278232113,0.0,0.13416037995419233
Area prostriata,0,106,0.0,0.539323393868864,0.0,0.0017067196008508354,0.0,0.1499652566216452
Claustrum,0,99,0.0,2.3348314296678967,0.0,0.007388707055911065,0.0,0.6337271459699174
"Endopiriform nucleus, dorsal part",0,103,0.0,1.2412732573554297,0.0,0.0039280799283399675,0.0,0.2777970709729383
"Endopiriform nucleus, ventral part",0,93,0.0,1.434677753603883,0.0,0.00454011947343001,0.0,0.31351163107378394
Lateral amygdalar nucleus,0,96,0.0,0.989502391282851,0.0,0.003131336681274845,0.0,0.17107577664519533
Basolateral amygdalar nucleus,0,89,0.0,2.024219236917579,0.0,0.006405757078853097,0.0,0.3960936519504807
Basomedial amygdalar nucleus,308,94,5.987908859543252,2.2672320540338737,0.01894907866944067,0.007174784981119854,0.5616420840168208,0.49542743706291975
Posterior amygdalar nucleus,0,97,0.0,0.9113068299306252,0.0,0.002883882373198181,0.0,0.44858731257577383
Caudoputamen,308,106,2.8758229956023524,2.372028348236061,0.009100705682285926,0.007506418823531839,0.32341409714734387,0.32341409714734387
Nucleus accumbens,316,98,8.05874020744169,2.4671888903355215,0.025502342428612945,0.007807559779542789,0.45198608552338504,0.45198608552338504
Fundus of striatum,0,98,0.0,2.239677095334057,0.0,0.007087585744728029,0.0,0.4914322173081601
Olfactory tubercle,0,107,0.0,1.419863977995251,0.0,0.004493240436693833,0.0,0.3171784355221917
"Lateral septal nucleus, caudal (caudodorsal) part",0,98,0.0,0.5583887306430139,0.0,0.0017670529450728287,0.0,0.2115380922338671
"Lateral septal nucleus, rostral (rostroventral) part",0,100,0.0,1.2637794806031966,0.0,0.0039993021538075844,0.0,0.25432327205057836
"Lateral septal nucleus, ventral part",0,89,0.0,1.2007065631411806,0.0,0.0037997043137379134,0.0,0.2632885344139534
Septofimbrial nucleus,0,97,0.0,0.7272258591538585,0.0,0.0023013476555501853,0.0,0.16113790220836702
Septohippocampal nucleus,0,81,0.0,0.9681453454598002,0.0,0.003063751093227216,0.0,0.4636337004672479
Anterior amygdalar area,309,100,10.132436634168476,2.4818669960355817,0.03206467289293822,0.007854009481125258,0.6184708015146549,0.6184708015146549
Bed nucleus of the accessory olfactory tract,0,99,0.0,0.927822810164921,0.0,0.0029361481334332943,0.0,0.34378934066886435
Central amygdalar nucleus,313,97,6.600737582090639,2.8410738364726247,0.020888410069907087,0.00899073998883742,0.3353367598878431,0.5616420840168208
Intercalated amygdalar nucleus,0,91,0.0,1.931417881565841,0.0,0.00611208190368937,0.0,0.5529658197260316
Medial amygdalar nucleus,314,106,3.590278674668481,2.307800229759235,0.011361641375533168,0.007303165284048212,0.2798864482164097,0.4487429604451546
"Globus pallidus, external segment",0,102,0.0,0.7367541128732554,0.0,0.0023315003571938464,0.0,0.1779478581643496
"Globus pallidus, internal segment",0,96,0.0,0.6461056791137896,0.0,0.002044638225043638,0.0,0.14651925034493526
Substantia innominata,290,100,4.0189813003456845,2.6449841571584334,0.012718295254258495,0.008370203028982384,0.45906781285757586,0.44662157073731057
Magnocellular nucleus,0,93,0.0,1.8407868272405272,0.0,0.005825274769748504,0.0,0.5613861447908441
Medial septal nucleus,0,82,0.0,0.8949395239551882,0.0,0.0028320871011240133,0.0,0.1675120312186477
Diagonal band nucleus,0,106,0.0,1.3521315886351426,0.0,0.004278897432389692,0.0,0.4069236720302566
Triangular nucleus of septum,232,101,0.766158514275589,0.6740201575704524,0.002424552260365788,0.002132975182184976,0.13893432965615105,0.13893432965615105
Bed nuclei of the stria terminalis,304,98,5.306961917414137,1.9005675137586515,0.016794183282956128,0.006014454157464087,0.2995000322781576,0.39159789534079464
Bed nucleus of the anterior commissure,0,68,0.0,1.9591126935542538,0.0,0.006199723713779284,0.0,0.7237652232091666
Ventral anterior-lateral complex of the thalamus,0,92,0.0,1.1229071314256032,0.0,0.0035535035804607697,0.0,0.4442998460275014
Ventral medial nucleus of the thalamus,162,94,5.552215953094055,1.9957012413465398,0.01757030364903182,0.0063155102574257585,0.4616579627768426,0.4256822177487142
Ventral posterolateral nucleus of the thalamus,0,99,0.0,0.8703126133500385,0.0,0.0027541538397153117,0.0,0.4003852318765541
"Ventral posterolateral nucleus of the thalamus, parvicellular part",0,77,0.0,1.2891730089937374,0.0,0.004079661420866258,0.0,0.42554254599854086
Ventral posteromedial nucleus of the thalamus,0,93,0.0,1.2577533572905228,0.0,0.003980232143324439,0.0,0.40875930239496167
"Ventral posteromedial nucleus of the thalamus, parvicellular part",0,91,0.0,2.0869700547915824,0.0,0.006604335616429058,0.0,0.631953312651873
Posterior triangular thalamic nucleus,0,88,0.0,1.2019016242598355,0.0,0.003803486152720998,0.0,0.34618508136086845
"Subparafascicular nucleus, magnocellular part",0,91,0.0,1.9366186539031307,0.0,0.0061285400439972494,0.0,0.40131997289080523
"Subparafascicular nucleus, parvicellular part",0,84,0.0,1.3059664263975472,0.0,0.004132805146827681,0.0,0.277267383962597
Subparafascicular area,0,89,0.0,1.9152531465434361,0.0,0.006060927678934925,0.0,0.203585818600752
Peripeduncular nucleus,0,89,0.0,0.9518521889545091,0.0,0.0030121904713750285,0.0,0.26693991412508644
Medial geniculate complex,234,107,1.5421767729830294,1.0279903376089992,0.004880306243617181,0.003253133979775314,0.3797413253865335,0.3797413253865335
Dorsal part of the lateral geniculate complex,160,101,5.267521560364687,1.1523592845484514,0.01666937202647053,0.0036467065966723144,0.42470079879753103,0.41878348531213366
Lateral posterior nucleus of the thalamus,211,102,4.546126027634388,2.1102211834810083,0.0143864747709949,0.006677915137598128,0.42696320072208016,0.42696320072208016
Posterior complex of the thalamus,222,92,0.3806418471074493,2.108160596200343,0.0012045628073020548,0.006671394291773238,0.3311617419826893,0.4012360579878975
Posterior limiting nucleus of the thalamus,0,90,0.0,1.6084930382606688,0.0,0.005090167842597053,0.0,0.40063357065548394
Suprageniculate nucleus,279,101,6.811902209094284,1.305140863558712,0.02155665256042495,0.0041301926061984556,0.44213029274634985,0.41442954120939757
Anteroventral nucleus of thalamus,249,99,2.5167864453359687,1.305672154998881,0.007964514067518889,0.004131873908224307,0.34511118114221373,0.43264173510758513
Anteromedial nucleus,299,80,9.46932991313704,2.2435033209057442,0.029966233902332405,0.0070996940534991905,0.5514554546307747,0.5514554546307747
Anterodorsal nucleus,0,96,0.0,1.0713138298716711,0.0,0.0033902336388344024,0.0,0.35214358936463097
Interanteromedial nucleus of the thalamus,0,70,0.0,2.0694169889841056,0.0,0.006548787939823119,0.0,0.4924207818960202
Interanterodorsal nucleus of the thalamus,0,79,0.0,2.2824880978026543,0.0,0.007223063600641311,0.0,0.5117397264732819
Lateral dorsal nucleus of thalamus,0,101,0.0,1.2499004253849701,0.0,0.003955381092990412,0.0,0.4203166235328954
Intermediodorsal nucleus of the thalamus,0,80,0.0,2.1446776462115302,0.0,0.006786954576618766,0.0,0.2509901426039078
Mediodorsal nucleus of thalamus,310,99,6.453498228804808,1.9785060387924502,0.0204224627493823,0.006261095059469779,0.4048800564226766,0.4048800564226766
Submedial nucleus of the thalamus,0,89,0.0,2.2123214332535595,0.0,0.007001017193840378,0.0,0.41872698598364205
Perireunensis nucleus,0,85,0.0,2.628805381568378,0.0,0.00831900437205183,0.0,0.4263456968765868
Paraventricular nucleus of the thalamus,0,99,0.0,2.015151847063974,0.0,0.006377062807164474,0.0,0.3730348992126305
Parataenial nucleus,0,90,0.0,2.5359643777945573,0.0,0.008025203727197967,0.0,0.49342072960312916
Nucleus of reuniens,305,89,12.09089809917374,2.8091059032723225,0.03826233575687892,0.008889575643266843,0.49342072960312916,0.4911748019481007
Xiphoid thalamic nucleus,0,74,0.0,2.0384355093937905,0.0,0.006450745282891742,0.0,0.37720924181605847
Rhomboid nucleus,0,82,0.0,1.9722415267960145,0.0,0.0062412706544177675,0.0,0.402043340065934
Central medial nucleus of the thalamus,0,81,0.0,2.298164925350789,0.0,0.007272673814401232,0.0,0.3899985270707671
Paracentral nucleus,0,84,0.0,2.159660489254276,0.0,0.00683436863688062,0.0,0.40203524289176595
Central lateral nucleus of the thalamus,0,101,0.0,1.1864823088865049,0.0,0.003754690850906661,0.0,0.2631227129223471
Parafascicular nucleus,0,97,0.0,1.1044821910166784,0.0,0.003495196807014805,0.0,0.1905927909724328
Posterior intralaminar thalamic nucleus,0,85,0.0,1.3531247188506208,0.0,0.004282040249527281,0.0,0.3504590726017232
Reticular nucleus of the thalamus,0,102,0.0,2.4236883534778024,0.0,0.007669899852777856,0.0,0.42470079879753103
Intergeniculate leaflet of the lateral geniculate complex,0,89,0.0,0.5389109494663984,0.0,0.0017054143970455645,0.0,0.2141581097025486
Intermediate geniculate nucleus,0,74,0.0,0.6482185956191804,0.0,0.0020513246696809507,0.0,0.13150805967571264
Ventral part of the lateral geniculate complex,313,104,5.044268794333191,1.0000161126695206,0.01596287593143415,0.003164607951485825,0.3124914947753047,0.38334614113436244
Subgeniculate nucleus,0,69,0.0,0.5143860534624287,0.0,0.0016278039666532554,0.0,0.08471649393942192
Medial habenula,0,99,0.0,0.5251784613813888,0.0,0.0016619571562702176,0.0,0.27059669012606824
Lateral habenula,0,94,0.0,0.9954219861669709,0.0,0.003150069576477756,0.0,0.2139540901272262
Supraoptic nucleus,0,91,0.0,1.0908368671564947,0.0,0.0034520154023939707,0.0,0.1076010957412283
Accessory supraoptic group,0,48,0.0,1.2034952974957696,0.0,0.003808529422454967,0.0,0.6045125348414832
Paraventricular hypothalamic nucleus,302,86,1.8362175013384014,2.1051470045764917,0.005810814877653169,0.006661857609419277,0.28943203668695555,0.480121964314204
"Periventricular hypothalamic nucleus, anterior part",0,70,0.0,0.8926857831332847,0.0,0.002824955009915458,0.0,0.2889190171083976
"Periventricular hypothalamic nucleus, intermediate part",0,95,0.0,1.4888771272455539,0.0,0.004711636478625171,0.0,0.4179784417386663
Arcuate hypothalamic nucleus,308,101,3.4962867354352176,1.0183306017297957,0.011064198529858283,0.003222565195347455,0.3674701936087322,0.3674701936087322
Anterodorsal preoptic nucleus,0,60,0.0,0.9850562955920147,0.0,0.003117266758202578,0.0,0.21541333212587613
Anteroventral preoptic nucleus,0,70,0.0,1.005544602086067,0.0,0.0031821031711584398,0.0,0.18587697499057165
Anteroventral periventricular nucleus,0,98,0.0,0.8105101810190929,0.0,0.00256490563613637,0.0,0.1486873698063397
Dorsomedial nucleus of the hypothalamus,0,83,0.0,1.881018574454299,0.0,0.0059525904254882885,0.0,0.4869732251865367
Median preoptic nucleus,0,85,0.0,0.9210009991353681,0.0,0.002914560123846102,0.0,0.24906708820762066
Medial preoptic area,0,84,0.0,1.3566595346044816,0.0,0.004293226375330638,0.0,0.3593117425936263
Vascular organ of the lamina terminalis,0,83,0.0,0.1908411353651268,0.0,0.0006039276435605279,0.0,0.052132964085784106
Posterodorsal preoptic nucleus,0,46,0.0,0.8862574508293483,0.0,0.0028046121861688236,0.0,0.2244156357351811
Parastrial nucleus,0,55,0.0,1.2387987772139846,0.0,0.003920249294980964,0.0,0.18288100338686317
"Periventricular hypothalamic nucleus, posterior part",0,100,0.0,1.1572808950467344,0.0,0.003662281313439033,0.0,0.3148373529555957
"Periventricular hypothalamic nucleus, preoptic part",0,90,0.0,0.7211535513976787,0.0,0.002282131491764806,0.0,0.1743407715216262
Subparaventricular zone,0,62,0.0,1.267218260332892,0.0,0.004010184368142064,0.0,0.4280034643278763
Suprachiasmatic nucleus,0,65,0.0,0.6389440349514656,0.0,0.0020219747941502076,0.0,0.17680730080875598
Subfornical organ,0,91,0.0,0.25119080222266665,0.0,0.0007949076019704641,0.0,0.05848133311312496
Ventromedial preoptic nucleus,0,74,0.0,0.8411258785812269,0.0,0.0026617907550038826,0.0,0.191834519115944
Ventrolateral preoptic nucleus,0,101,0.0,1.039871474171694,0.0,0.003290732513201563,0.0,0.1705610792969636
Anterior hypothalamic nucleus,315,83,13.094716884613215,1.6024780423062335,0.041438977482953214,0.005071133045272891,0.6045125348414832,0.5511782843310314
Lateral mammillary nucleus,0,101,0.0,0.8904425996230714,0.0,0.002817856327921112,0.0,0.25175165859578597
Medial mammillary nucleus,0,105,0.0,0.9416735196856314,0.0,0.0029799794926760486,0.0,0.20822649255449113
Supramammillary nucleus,0,106,0.0,2.052987438869717,0.0,0.0064967956926256865,0.0,0.472992164903179
"Tuberomammillary nucleus, dorsal part",0,80,0.0,1.1969148425508798,0.0,0.003787705197945822,0.0,0.4679248597208132
"Tuberomammillary nucleus, ventral part",315,107,2.917705535572636,1.7381948689887945,0.009233245365736189,0.0055006166740151725,0.25175165859578597,0.5617291382385081
Medial preoptic nucleus,314,72,6.14986894017694,1.324033448067403,0.019461610570180192,0.0041899792660360854,0.2731856423642843,0.3787545796348184
Dorsal premammillary nucleus,0,73,0.0,1.7337365018498585,0.0,0.005486507917246388,0.0,0.4220921986460408
Ventral premammillary nucleus,315,95,11.366297775974084,1.9021813156509961,0.035969296759411656,0.006019561125477836,0.5994346402797481,0.5994346402797481
"Paraventricular hypothalamic nucleus, descending division",0,88,0.0,2.0054190505707465,0.0,0.006346262818261856,0.0,0.5642602519004138
Ventromedial hypothalamic nucleus,0,77,0.0,1.1443757769592986,0.0,0.003621442332149679,0.0,0.35508174711657975
Posterior hypothalamic nucleus,311,101,6.5041376462392755,2.549953439907165,0.020582714070377452,0.008069472911098623,0.3387854767105367,0.5037808688272232
Lateral hypothalamic area,316,104,5.711951045069789,2.9369202412969195,0.018075794446423384,0.00929405139650924,0.24283574110435735,0.31902060728182025
Lateral preoptic area,0,89,0.0,1.6503193425614155,0.0,0.00522252956506777,0.0,0.378939358322657
Preparasubthalamic nucleus,0,70,0.0,1.9317686254938498,0.0,0.006113191852828639,0.0,0.21019068400328492
Parasubthalamic nucleus,0,84,0.0,2.2231069884279395,0.0,0.007035148697556771,0.0,0.2446723455556478
Perifornical nucleus,0,79,0.0,1.583469383214308,0.0,0.005010979060804772,0.0,0.5097959704622381
Retrochiasmatic area,0,88,0.0,1.2078591793686997,0.0,0.003822339175217404,0.0,0.1557804406817439
Subthalamic nucleus,0,87,0.0,0.5810449511273602,0.0,0.0018387498453397474,0.0,0.15256238227181282
Tuberal nucleus,170,105,0.15024364933341008,1.4966483337286818,0.0004754545864981332,0.004736228904204689,0.05357279045108929,0.43507973676724204
Zona incerta,0,101,0.0,2.130673857605733,0.0,0.00674263878989156,0.0,0.3576685499573638
Median eminence,0,103,0.0,0.9452056608273549,0.0,0.002991157154516946,0.0,0.35341225899355555
"Superior colliculus, sensory related",226,106,1.3393245825441915,0.7934266573838418,0.0042383689321018716,0.002510843852480512,0.32812620571544115,0.32812620571544115
Inferior colliculus,274,105,1.071239912073857,1.369355219804957,0.0033899997217527117,0.004333402594319484,0.3952493581914964,0.4058630658142395
Nucleus of the brachium of the inferior colliculus,0,83,0.0,1.1076358347504747,0.0,0.0035051766922483377,0.0,0.45591336747604155
Nucleus sagulum,279,77,3.8924715617049666,0.8385381988092125,0.012317947980079008,0.0026536018949658625,0.45591336747604155,0.4105126989754087
Parabigeminal nucleus,0,90,0.0,0.47277386581754455,0.0,0.0014961198285365334,0.0,0.3008962491171721
Midbrain trigeminal nucleus,0,77,0.0,1.451205756979182,0.0,0.00459242328157969,0.0,0.24611530696390713
Subcommissural organ,0,78,0.0,0.2515555440192347,0.0,0.0007960618481621351,0.0,0.0443910354229708
"Substantia nigra, reticular part",0,106,0.0,0.6922549457868895,0.0,0.002190680208186359,0.0,0.26641864465805665
Ventral tegmental area,316,97,14.58537834940452,2.368138981843092,0.04615626059938139,0.0074941107020351,0.56230242557027,0.4471246712105126
Paranigral nucleus,0,69,0.0,1.2336604678681713,0.0,0.0039039888223676308,0.0,0.2305269364353745
"Midbrain reticular nucleus, retrorubral area",0,86,0.0,2.0006343561786974,0.0,0.006331121380312334,0.0,0.38429808599632004
Midbrain reticular nucleus,316,106,6.460496983330071,3.3111000450987036,0.02044461070674073,0.010478164699679441,0.25643523961274195,0.43760042752930833
"Superior colliculus, motor related",316,107,4.030048407790402,1.88293921067352,0.012753317746172159,0.0059586683882073424,0.2991060287384243,0.2991060287384243
Periaqueductal gray,316,105,3.098427481318166,2.9939079068469896,0.009805150257335967,0.009474392110275284,0.23941983271409772,0.5069171519824321
Anterior pretectal nucleus,267,105,1.6737908761783098,1.9535052837875346,0.005296806570184525,0.006181978746163084,0.40897314558770625,0.40897314558770625
Medial pretectal area,0,95,0.0,0.5287830194341646,0.0,0.001673363985551154,0.0,0.14327872943011394
Nucleus of the optic tract,0,106,0.0,0.503378538797543,0.0,0.0015929700594858956,0.0,0.15486988601775772
Nucleus of the posterior commissure,0,99,0.0,1.2892777398046424,0.0,0.004079992847483046,0.0,0.16186980797588676
Olivary pretectal nucleus,0,96,0.0,0.5630531943348461,0.0,0.0017818139061229307,0.0,0.14733300950651265
Posterior pretectal nucleus,0,82,0.0,0.9490837973285382,0.0,0.00300342973838145,0.0,0.17737096963003007
Cuneiform nucleus,0,104,0.0,0.8563506723818146,0.0,0.0027099704822209324,0.0,0.22766625489035325
Red nucleus,298,94,8.66581862891266,1.5523523121362897,0.027423476673774243,0.004912507316886992,0.5699098311738766,0.5479295711403194
Oculomotor nucleus,0,66,0.0,0.852439935695982,0.0,0.002697594733215133,0.0,0.26751342766290914
Medial accesory oculomotor nucleus,0,76,0.0,2.1145225796564384,0.0,0.006691527150811514,0.0,0.56230242557027
Edinger-Westphal nucleus,0,79,0.0,2.0231199166178016,0.0,0.006402278217144942,0.0,0.28710660435926133
