region,efficiency_change,clustering_change,density_change,component_change
"Frontal pole, cerebral cortex",0.0006164798344153997,-5.661701229285201e-05,0.002679904417843905,-1
Primary motor area,-0.0012966141522943548,0.00010141144754087388,-0.005325662910100796,0
Secondary motor area,-0.002198501317457544,4.7172240594944577e-05,-0.008249435325524091,0
"Primary somatosensory area, nose",-0.0010506449254317216,1.5688538131450455e-05,-0.004768753878591587,0
"Primary somatosensory area, barrel field",-0.0019661970476427017,2.037213287325217e-05,-0.00758810585060699,0
"Primary somatosensory area, lower limb",-0.001446928679821553,-1.2123243219193443e-05,-0.006021799199487258,0
"Primary somatosensory area, mouth",-0.0016928979066841866,2.4927975479010634e-05,-0.0067179354888737206,0
"Primary somatosensory area, upper limb",0.000602814877367459,-5.580206253180776e-05,0.002645097603374544,-1
"Primary somatosensory area, trunk",0.000602814877367459,-5.580206253180776e-05,0.002645097603374544,-1
"Primary somatosensory area, unassigned",0.0006164798344153997,-6.535461031095417e-05,0.002679904417843905,-1
Supplemental somatosensory area,-0.0017885526060197718,2.168822229038253e-05,-0.007100810448036314,0
Gustatory areas,-0.0018705423483072663,2.497269174587384e-05,-0.00730965133485229,0
Visceral area,-0.002157506446313722,6.0385227576551556e-05,-0.008075401253177475,0
Dorsal auditory area,-0.0017612226919238904,2.839406402354775e-05,-0.006926776375689698,0
Primary auditory area,-0.0005587064717063046,-5.513111832840214e-06,-0.002923992711717347,0
Posterior auditory area,-0.0007910107415211473,0.0001499539040818811,-0.0037245494445118936,0
Ventral auditory area,0.0005891499203195182,-5.507391981512698e-05,0.0026102907889051824,-1
Anterolateral visual area,-0.001993526961738583,2.0647922525161928e-05,-0.007553299036137629,0
Anteromedial visual area,-0.002157506446313722,3.305853355108833e-05,-0.008005787624238753,0
Lateral visual area,-0.0015972432073487514,1.3736335009742173e-06,-0.006335060529711319,0
Primary visual area,-0.0022394961886012163,5.4009347235530745e-05,-0.008319048954462813,0
Posterolateral visual area,-0.0015835782503008107,-7.854486756436754e-06,-0.006369867344180489,0
posteromedial visual area,-0.002225831231553426,4.9751595496724765e-05,-0.008249435325524091,0
Laterointermediate area,-0.000968655183144077,0.00016392714804673917,-0.004107424403674486,0
Postrhinal area,-0.0018978722624031477,4.135275911109336e-06,-0.00730965133485229,0
"Anterior cingulate area, dorsal part",-0.002157506446313722,4.181199735650806e-05,-0.008110208067646837,0
"Anterior cingulate area, ventral part",-0.0015289184221090476,1.3790218472866199e-06,-0.006265446900772596,0
Prelimbic area,-0.002225831231553426,4.968016944452488e-05,-0.008249435325524091,0
Infralimbic area,0.0006574747055590719,-4.8507700438373624e-05,0.0027843248612519893,-1
"Orbital area, lateral part",0.0006301447914633404,-4.9544893845116066e-05,0.0027147112323132666,-1
"Orbital area, medial part",-0.0021165115751698997,4.092502849307474e-05,-0.007970980809769582,0
"Orbital area, ventrolateral part",0.0002885208652651217,-0.00012528777848933546,0.0003826546628685408,0
"Agranular insular area, dorsal part",-0.0018568773912593256,7.277140206581079e-05,-0.00730965133485229,0
"Agranular insular area, posterior part",-0.0002990722877957304,-9.050109713832835e-05,-0.002262663236800246,0
"Agranular insular area, ventral part",-0.0020208568758344645,6.077970666315123e-05,-0.007692526294014883,0
"Retrosplenial area, lateral agranular part",-0.0020208568758344645,4.856698424032657e-05,-0.007692526294014883,0
"Retrosplenial area, dorsal part",-0.0016655679925883051,2.259826357534398e-05,-0.0066483218599351895,0
"Retrosplenial area, ventral part",-0.0021301765322178407,3.521685580183974e-05,-0.008040594438708115,0
Anterior area,-0.0009413252690481954,-1.1455712744521795e-06,-0.004177038032613018,0
Rostrolateral visual area,-0.0021711714033616626,4.549040859821313e-05,-0.008040594438708115,0
Temporal association areas,0.0006164798344153997,-5.5478864844410265e-05,0.002679904417843905,-1
Perirhinal area,0.0006164798344153997,-5.277093704470618e-05,0.002679904417843905,-1
Ectorhinal area,0.000602814877367459,-5.580206253180776e-05,0.002645097603374544,-1
Main olfactory bulb,0.0005891499203195182,-5.507391981512698e-05,0.0026102907889051824,-1
Accessory olfactory bulb,-0.0010643098824796623,0.00024004630145509643,-0.004385878919428995,0
Anterior olfactory nucleus,-0.0009549902260961362,0.00011030191717280472,-0.004246651661551741,0
Taenia tecta,-0.0014605936368694938,5.39799344570144e-05,-0.005986992385017897,0
Dorsal peduncular area,-0.0014332637227736124,0.00020770280846051003,-0.005952185570548727,0
Piriform area,-0.0017475577348759496,2.7679570471135005e-05,-0.006891969561220528,0
Nucleus of the lateral olfactory tract,0.0006301447914633404,-4.5903302324450783e-05,0.0027147112323132666,-1
